Título,Ano,Gênero,Média ponderada,Média Aritmética,Média
Notuku Potu,2017,"['Horror', ' Mystery']",9.8,9.7,9.75
Isha,2020,"['Drama', ' Horror']",9.5,9.4,9.45
Death files,2020,"['Fantasy', ' Horror', ' Thriller']",8.4,9.4,8.9
Aiyai: Wrathful Soul,2020,"['Horror', ' Mystery', ' Thriller']",8.9,8.7,8.8
Post,2019,"['Drama', ' Fantasy', ' Horror']",8.4,9.2,8.8
Concrete shark,2020,"['Action', ' Comedy', ' Horror']",8.1,9.4,8.75
Manichitrathazhu,1993,"['Comedy', ' Horror', ' Musical']",8.7,8.7,8.7
Shhh!,1993,"['Horror', ' Mystery', ' Thriller']",8.6,8.8,8.7
An Hour to Kill,2018,"['Action', ' Comedy', ' Horror']",8.2,9.2,8.7
Otel mertvetsov,2013,"['Horror', ' Mystery', ' Thriller']",8.3,9,8.65
Praana,2019,"['Crime', ' Drama', ' Horror']",8.4,8.9,8.65
Cursed forest,2018,"['Horror', ' Thriller']",8.2,9.1,8.65
Secret of Slenderman 3,2016,"['Horror', ' Mystery', ' Thriller']",8.1,9.1,8.6
Kaaal,2020,['Horror'],8.5,8.6,8.55
The Blue Elephant 2,2019,"['Drama', ' Horror', ' Mystery']",8.3,8.8,8.55
Whispering of Dead,2014,"['Horror', ' Thriller']",8.1,8.8,8.45
Mortem,2016,"['Drama', ' Horror', ' Thriller']",8.1,8.8,8.45
Psycho,1960,"['Horror', ' Mystery', ' Thriller']",8.5,8.4,8.45
Tumbbad,2018,"['Drama', ' Fantasy', ' Horror']",8.3,8.6,8.45
Kuasha jakhon,2018,"['Drama', ' Horror', ' Mystery']",8.1,8.8,8.45
Alien,1979,"['Horror', ' Sci-Fi']",8.4,8.4,8.4
Cemetery Legend,2015,"['Horror', ' Thriller']",8,8.8,8.4
The Shining,1980,"['Drama', ' Horror']",8.4,8.3,8.35
The Blue Elephant,2014,"['Drama', ' Horror', ' Mystery']",8.1,8.5,8.3
Aapthamitra,2004,"['Drama', ' Horror', ' Thriller']",8.1,8.4,8.25
Bhooter Bhabishyat,2012,"['Comedy', ' Fantasy', ' Horror']",8.1,8.3,8.2
Aadamkhor,2018,['Horror'],8,8.4,8.2
Variola vera,1982,"['Drama', ' History', ' Horror']",8.1,8.3,8.2
Aamis,2019,"['Drama', ' Fantasy', ' Horror']",8.1,8.2,8.15
Davitelj protiv davitelja,1984,"['Comedy', ' Crime', ' Horror']",8.1,8.2,8.15
The Thing,1982,"['Horror', ' Mystery', ' Sci-Fi']",8.1,8.1,8.1
What Ever Happened to Baby Jane?,1962,"['Drama', ' Horror', ' Thriller']",8.1,8.1,8.1
El esqueleto de la seÃ±ora Morales,1960,"['Comedy', ' Crime', ' Horror']",8.1,8.1,8.1
Pizza,2012,"['Horror', ' Thriller']",8,8.1,8.05
Shura,1971,"['Drama', ' Horror']",8,8.1,8.05
The Exorcist,1973,['Horror'],8,8,8
Kaidan,1964,"['Drama', ' Fantasy', ' Horror']",8,8,8
