;0;1;2;3
0;tt0003419;Der Student von Prag;1913;['Drama', ' Fantasy', ' Horror']
1;tt0003643;The Avenging Conscience: or 'Thou Shalt Not Kill';1914;['Crime', ' Drama', ' Horror']
2;tt0004026;Der Golem;1915;['Horror']
3;tt0005529;Hævnens Nat;1916;['Crime', ' Drama', ' Horror']
4;tt0005951;Rapsodia satanica;1917;['Drama', ' Fantasy', ' Horror']
5;tt0007183;Pikovaya dama;1916;['Drama', ' Fantasy', ' Horror']
6;tt0007983;Furcht;1917;['Horror']
7;tt0008854;Die Augen der Mumie Ma;1918;['Drama', ' Horror']
8;tt0010307;J'accuse;1919;['Drama', ' Horror', ' War']
9;tt0010323;Das Cabinet des Dr. Caligari;1920;['Fantasy', ' Horror', ' Mystery']
10;tt0010559;Die Pest in Florenz;1919;['Drama', ' History', ' Horror']
11;tt0010821;Unheimliche Geschichten;1919;['Fantasy', ' Horror', ' Mystery']
12;tt0011130;Dr. Jekyll and Mr. Hyde;1920;['Drama', ' Horror', ' Sci-Fi']
13;tt0011221;Genuine;1920;['Horror']
14;tt0011237;Der Golem, wie er in die Welt kam;1920;['Fantasy', ' Horror']
15;tt0011607;Prästänkan;1920;['Comedy', ' Drama', ' Horror']
16;tt0012364;Körkarlen;1921;['Drama', ' Fantasy', ' Horror']
17;tt0012651;Schloß Vogelöd;1921;['Crime', ' Drama', ' Horror']
18;tt0013223;The Headless Horseman;1922;['Comedy', ' Drama', ' Horror']
19;tt0013442;Nosferatu, eine Symphonie des Grauens;1922;['Fantasy', ' Horror']
20;tt0013579;Schatten - Eine nächtliche Halluzination;1923;['Drama', ' Fantasy', ' Horror']
21;tt0014142;The Hunchback of Notre Dame;1923;['Drama', ' Horror', ' Romance']
22;tt0014586;Das Wachsfigurenkabinett;1924;['Fantasy', ' Horror']
23;tt0014826;Dante's Inferno;1924;['Drama', ' Horror', ' Romance']
24;tt0015202;Orlacs Hände;1924;['Crime', ' Horror', ' Mystery']
25;tt0016123;The Monster;1925;['Comedy', ' Horror', ' Mystery']
26;tt0016220;The Phantom of the Opera;1925;['Horror']
27;tt0016640;The Bells;1926;['Crime', ' Drama', ' Horror']
28;tt0016847;Faust: Eine deutsche Volkssage;1926;['Drama', ' Fantasy', ' Horror']
29;tt0017103;The Magician;1926;['Drama', ' Fantasy', ' Horror']
30;tt0017438;Der Student von Prag;1926;['Drama', ' Horror']
31;tt0017621;Alraune;1928;['Drama', ' Fantasy', ' Horror']
32;tt0017739;The Cat and the Canary;1927;['Comedy', ' Horror', ' Mystery']
33;tt0018097;London After Midnight;1927;['Horror']
34;tt0018528;The Unknown;1927;['Drama', ' Horror', ' Romance']
35;tt0018770;La chute de la maison Usher;1928;['Horror']
36;tt0019130;The Man Who Laughs;1928;['Drama', ' Horror', ' Mystery']
37;tt0020078;The Last Performance;1929;['Drama', ' Horror', ' Romance']
38;tt0020080;The Last Warning;1928;['Horror', ' Mystery', ' Thriller']
39;tt0020668;The Bat Whispers;1930;['Crime', ' Thriller', ' Horror']
40;tt0021814;Dracula;1931;['Drama', ' Fantasy', ' Horror']
41;tt0021815;Drácula;1931;['Drama', ' Fantasy', ' Horror']
42;tt0021820;The Drums of Jeopardy;1931;['Crime', ' Drama', ' Horror']
43;tt0021884;Frankenstein;1931;['Drama', ' Horror', ' Romance']
44;tt0022103;The Mad Genius;1931;['Drama', ' Horror', ' Romance']
45;tt0022173;Murder by the Clock;1931;['Horror', ' Mystery']
46;tt0022265;The Phantom;1931;['Horror', ' Thriller']
47;tt0022454;Svengali;1931;['Drama', ' Horror', ' Romance']
48;tt0022663;Behind the Mask;1932;['Crime', ' Horror', ' Mystery']
49;tt0022827;Doctor X;1932;['Comedy', ' Crime', ' Horror']
50;tt0022835;Dr. Jekyll and Mr. Hyde;1931;['Horror', ' Sci-Fi']
51;tt0022913;Freaks;1932;['Drama', ' Horror']
52;tt0022981;Haunted Gold;1932;['Action', ' Horror', ' Mystery']
53;tt0023101;Kongo;1932;['Drama', ' Horror']
54;tt0023194;The Mask of Fu Manchu;1932;['Adventure', ' Horror', ' Sci-Fi']
55;tt0023236;The Monster Walks;1932;['Horror', ' Mystery']
56;tt0023245;The Mummy;1932;['Fantasy', ' Horror']
57;tt0023247;Murder at Dawn;1932;['Crime', ' Drama', ' Horror']
58;tt0023249;Murders in the Rue Morgue;1932;['Crime', ' Horror', ' Mystery']
59;tt0023293;The Old Dark House;1932;['Comedy', ' Horror', ' Thriller']
60;tt0023563;Das Testament des Dr. Mabuse;1933;['Crime', ' Horror', ' Mystery']
61;tt0023582;Thirteen Women;1932;['Drama', ' Horror', ' Mystery']
62;tt0023649;Vampyr;1932;['Fantasy', ' Horror']
63;tt0023694;White Zombie;1932;['Horror']
64;tt0024055;The Ghoul;1933;['Action', ' Drama', ' Horror']
65;tt0024184;The Invisible Man;1933;['Horror', ' Sci-Fi']
66;tt0024188;Island of Lost Souls;1932;['Horror', ' Sci-Fi']
67;tt0024216;King Kong;1933;['Adventure', ' Horror', ' Sci-Fi']
68;tt0024266;La llorona;1933;['Horror', ' Mystery']
69;tt0024360;Murders in the Zoo;1933;['Crime', ' Horror']
70;tt0024368;Mystery of the Wax Museum;1933;['Horror', ' Mystery', ' Thriller']
71;tt0024382;Night of Terror;1933;['Horror', ' Mystery', ' Thriller']
72;tt0024538;Secret of the Blue Room;1933;['Drama', ' Horror', ' Mystery']
73;tt0024631;Supernatural;1933;['Horror', ' Mystery', ' Thriller']
74;tt0024727;The Vampire Bat;1933;['Drama', ' Horror', ' Mystery']
75;tt0024768;The Whispering Shadow;1933;['Action', ' Crime', ' Horror']
76;tt0024894;The Black Cat;1934;['Adventure', ' Crime', ' Horror']
77;tt0024895;Black Moon;1934;['Drama', ' Horror']
78;tt0025062;Dos monjes;1934;['Drama', ' Horror', ' Mystery']
79;tt0025100;El fantasma del convento;1934;['Adventure', ' Drama', ' Horror']
80;tt0025271;House of Mystery;1934;['Horror', ' Mystery']
81;tt0025391;Life Returns;1935;['Drama', ' Horror', ' Sci-Fi']
82;tt0025465;Maniac;1934;['Horror']
83;tt0025566;The 9th Guest;1934;['Drama', ' Horror', ' Mystery']
84;tt0025712;The Return of Chandu;1934;['Adventure', ' Fantasy', ' Horror']
85;tt0026123;The Black Room;1935;['Crime', ' Horror']
86;tt0026138;Bride of Frankenstein;1935;['Drama', ' Horror', ' Sci-Fi']
87;tt0026209;Chloe, Love Is Calling You;1934;['Horror']
88;tt0026230;Condemned to Live;1935;['Drama', ' Horror', ' Mystery']
89;tt0026406;The Ghost Goes West;1935;['Comedy', ' Fantasy', ' Horror']
90;tt0026663;Mad Love;1935;['Horror', ' Romance', ' Sci-Fi']
91;tt0026685;Mark of the Vampire;1935;['Horror', ' Mystery']
92;tt0026758;Mystery of Edwin Drood;1935;['Drama', ' Horror', ' Mystery']
93;tt0026759;The Mystery of the Mary Celeste;1935;['Drama', ' Horror', ' Mystery']
94;tt0026912;The Raven;1935;['Crime', ' Horror']
95;tt0027055;Der Student von Prag;1935;['Horror']
96;tt0027194;Werewolf of London;1935;['Drama', ' Fantasy', ' Horror']
97;tt0027479;The Crime of Doctor Crespi;1935;['Crime', ' Horror', ' Mystery']
98;tt0027521;The Devil-Doll;1936;['Drama', ' Horror', ' Sci-Fi']
99;tt0027545;Dracula's Daughter;1936;['Drama', ' Fantasy', ' Horror']
100;tt0027653;Fährmann Maria;1936;['Thriller', ' Horror', ' Mystery']
101;tt0027688;Le golem;1936;['Fantasy', ' Horror']
102;tt0027800;The Invisible Ray;1936;['Horror', ' Sci-Fi', ' Thriller']
103;tt0027938;The Man Who Changed His Mind;1936;['Horror', ' Sci-Fi']
104;tt0027999;Mummy's Boys;1936;['Action', ' Comedy', ' Horror']
105;tt0028174;Revolt of the Zombies;1936;['Adventure', ' Horror']
106;tt0028241;Shadow of Chinatown;1936;['Adventure', ' Crime', ' Horror']
107;tt0028331;Sweeney Todd: The Demon Barber of Fleet Street;1936;['Drama', ' Horror']
108;tt0028478;The Walking Dead;1936;['Crime', ' Drama', ' Horror']
109;tt0029508;SOS Coast Guard;1937;['Adventure', ' Horror', ' Romance']
110;tt0029984;Charlie Chan in Honolulu;1938;['Comedy', ' Crime', ' Horror']
111;tt0031143;The Cat and the Canary;1939;['Comedy', ' Horror', ' Mystery']
112;tt0031147;Charlie Chan at Treasure Island;1939;['Comedy', ' Crime', ' Horror']
113;tt0031208;The Dark Eyes of London;1939;['Crime', ' Horror', ' Mystery']
114;tt0031229;The Devil's Daughter;1939;['Drama', ' Horror']
115;tt0031289;The Face at the Window;1939;['Drama', ' Horror']
116;tt0031387;The Gorilla;1939;['Comedy', ' Horror']
117;tt0031448;The Hound of the Baskervilles;1939;['Horror', ' Mystery', ' Thriller']
118;tt0031503;J'accuse!;1938;['Drama', ' Horror', ' Sci-Fi']
119;tt0031614;The Man They Could Not Hang;1939;['Crime', ' Horror', ' Sci-Fi']
120;tt0031796;The Phantom Creeps;1939;['Action', ' Horror', ' Sci-Fi']
121;tt0031851;The Return of Doctor X;1939;['Horror', ' Mystery', ' Sci-Fi']
122;tt0031951;Son of Frankenstein;1939;['Drama', ' Horror', ' Sci-Fi']
123;tt0032047;Torture Ship;1939;['Horror', ' Sci-Fi']
124;tt0032215;The Ape;1940;['Horror']
125;tt0032245;Before I Hang;1940;['Crime', ' Horror', ' Sci-Fi']
126;tt0032258;Black Friday;1940;['Crime', ' Drama', ' Horror']
127;tt0032390;The Devil Bat;1940;['Horror', ' Sci-Fi']
128;tt0032406;The Door with Seven Locks;1940;['Drama', ' Horror', ' Mystery']
129;tt0032412;Dr. Cyclops;1940;['Adventure', ' Drama', ' Horror']
130;tt0032520;The Ghost Breakers;1940;['Comedy', ' Horror', ' Mystery']
131;tt0032635;The Invisible Man Returns;1940;['Drama', ' Horror', ' Mystery']
132;tt0032818;The Mummy's Hand;1940;['Adventure', ' Fantasy', ' Horror']
133;tt0033075;Son of Ingagi;1940;['Horror']
134;tt0033088;Spellbound;1941;['Drama', ' Horror']
135;tt0033283;You'll Find Out;1940;['Comedy', ' Horror', ' Musical']
136;tt0033397;The Black Cat;1941;['Adventure', ' Comedy', ' Horror']
137;tt0033530;The Devil Commands;1941;['Horror', ' Sci-Fi']
138;tt0033553;Dr. Jekyll and Mr. Hyde;1941;['Drama', ' Horror', ' Sci-Fi']
139;tt0033660;The Ghost Train;1941;['Comedy', ' Horror']
140;tt0033723;Hold That Ghost;1941;['Adventure', ' Comedy', ' Horror']
141;tt0033760;Invisible Ghost;1941;['Crime', ' Drama', ' Horror']
142;tt0033787;King of the Zombies;1941;['Adventure', ' Comedy', ' Horror']
143;tt0033879;Man Made Monster;1941;['Drama', ' Horror', ' Sci-Fi']
144;tt0033916;The Monster and the Girl;1941;['Crime', ' Drama', ' Horror']
145;tt0034224;Spooks Run Wild;1941;['Horror', ' Comedy']
146;tt0034398;The Wolf Man;1941;['Horror']
147;tt0034540;The Boogie Man Will Get You;1942;['Comedy', ' Horror']
148;tt0034587;Cat People;1942;['Fantasy', ' Horror', ' Thriller']
149;tt0034613;The Corpse Vanishes;1942;['Horror', ' Sci-Fi']
150;tt0034681;Dr. Renault's Secret;1942;['Horror', ' Mystery', ' Romance']
151;tt0034786;The Ghost of Frankenstein;1942;['Drama', ' Horror', ' Sci-Fi']
152;tt0034850;The Hidden Hand;1942;['Comedy', ' Horror', ' Mystery']
153;tt0034985;The Living Ghost;1942;['Horror', ' Mystery', ' Thriller']
154;tt0035007;The Mad Doctor of Market Street;1942;['Comedy', ' Drama', ' Horror']
155;tt0035009;The Mad Monster;1942;['Drama', ' Horror', ' Romance']
156;tt0035017;La main du diable;1943;['Fantasy', ' Horror']
157;tt0035031;Man with Two Lives;1942;['Horror', ' Thriller']
158;tt0035096;The Mummy's Tomb;1942;['Drama', ' Fantasy', ' Horror']
159;tt0035123;The Night Has Eyes;1942;['Horror', ' Mystery', ' Thriller']
160;tt0035124;Night Monster;1942;['Adventure', ' Drama', ' Horror']
